Timestamp,CPU_Usage,RAM_Usage,Disk_Usage,Network,cpu_rolling_mean_6h,cpu_rolling_std_6h,cpu_lag_1h,hour_of_day,day_of_week,ram_rolling_mean_3h,cpu_lag_24h,is_weekend,cpu_trend_3h
2024-01-01 02:00:00,34.18829906387656,55.0,84.9498588901665,37.85795252577171,,,,2,0,55.0,,0,
2024-01-01 03:00:00,34.18829906387656,59.17951639331191,53.470139881563085,37.85795252577171,,,34.18829906387656,3,0,57.08975819665595,,0,
2024-01-01 04:00:00,34.18829906387656,0.0,56.29472989009,44.734012701329206,,,34.18829906387656,4,0,38.05983879777063,,0,
2024-01-01 05:00:00,34.18829906387656,55.62303790850983,51.716021114073264,44.734012701329206,,,34.18829906387656,5,0,38.26751810060725,,0,0.0
2024-01-01 06:00:00,34.18829906387656,55.0,50.0,27.141647725962564,,,34.18829906387656,6,0,36.874345969503274,,0,0.0
2024-01-01 07:00:00,34.18829906387656,55.0,56.327687970846696,29.25867033712036,34.18829906387656,0.0,34.18829906387656,7,0,55.20767930283662,,0,0.0
2024-01-01 08:00:00,49.61179283007505,55.0,60.3212604582598,27.594217892888423,36.75888135824298,6.296614963030581,34.18829906387656,8,0,55.0,,0,15.42349376619849
2024-01-01 09:00:00,53.837173645764544,55.0,59.85615749388296,18.28183160446583,40.03369378855765,9.153694285552156,49.61179283007505,9,0,55.0,,0,19.64887458188798
2024-01-01 10:00:00,57.29986626622441,56.47091053761845,58.31104583555336,21.363710167972567,43.885621655615616,10.898427209004538,53.837173645764544,10,0,55.49030351253949,,0,23.11156720234785
2024-01-01 11:00:00,72.71280021792982,59.20353029879558,57.24486225046026,13.32036468905105,50.30637184795783,14.720669403056181,57.29986626622441,11,0,56.89148027880467,,0,23.10100738785477
2024-01-01 12:00:00,78.03567334003851,58.52691586120014,59.981308685338114,22.36634764889847,57.614267560651484,15.951052572482489,72.71280021792982,12,0,58.06711889920472,,0,24.19849969427397
2024-01-01 13:00:00,87.67135123214871,62.78794413455972,59.981308685338114,33.66852592111736,66.52810958869684,15.166365361999617,78.03567334003851,13,0,60.17279676485182,,0,30.371484965924296
2024-01-01 14:00:00,95.0,71.72443012345464,58.991267940541945,36.255783687747474,74.09281078368433,16.31705694889165,87.67135123214871,14,0,64.34643003973817,,0,22.287199782070175
2024-01-01 15:00:00,95.0,72.57611795708824,58.60944320157544,37.54317849041289,80.95328184272357,14.66734525072024,95.0,15,0,69.02949740503419,,0,16.964326659961486
2024-01-01 16:00:00,95.0,70.31644726908871,59.134308703886646,51.79373123432634,87.2366374650195,9.763175291031983,95.0,16,0,71.53899844987718,,0,7.328648767851291
2024-01-01 17:00:00,95.0,70.1452925069191,61.846372451224966,63.481449678168566,90.95117076203121,6.973368807097833,95.0,17,0,71.01261924436535,,0,0.0
2024-01-01 18:00:00,95.0,70.75691937698018,56.37213352165912,48.600469771380176,93.77855853869146,2.9919083308854924,95.0,18,0,70.40621971766267,,0,0.0
2024-01-01 19:00:00,95.0,71.92143916520891,53.82962354978538,80.4857959552436,95.0,0.0,95.0,19,0,70.9412170163694,,0,0.0
2024-01-01 20:00:00,93.74415086985584,66.03830491367773,54.10956566133029,73.29072420408458,94.79069181164265,0.5126982604625274,95.0,20,0,69.5722211519556,,0,-1.2558491301441563
2024-01-01 21:00:00,85.30974357101607,63.63022394136229,50.892286496089156,85.97983482187786,93.17564907347865,3.8860954408906503,93.74415086985584,21,0,67.19665600674965,,0,-9.690256428983929
2024-01-01 22:00:00,68.87111849756732,64.30669315217439,52.054490978239926,68.00438521082832,88.82083548973988,10.479544178981923,85.30974357101607,22,0,64.65840733573815,,0,-26.128881502432677
2024-01-01 23:00:00,59.98487921933879,62.48722273974314,10.182868944481427,70.30523409411279,82.98498202629634,15.087023676650603,68.87111849756732,23,0,63.47471327775994,,0,-33.75927165051706
2024-01-02 00:00:00,42.87625906893273,56.53268667001318,53.25117829694627,70.30523409411279,74.29769187111846,20.734639403759594,59.98487921933879,0,1,61.10886752064357,,0,-42.43348450208334
2024-01-02 01:00:00,38.993815129912186,60.31719838510819,51.63803630483466,58.72997183100456,64.96332772610383,22.11163667919868,42.87625906893273,1,1,59.7790359316215,,0,-29.877303367655138
2024-01-02 02:00:00,38.993815129912186,55.0,56.03839972124803,71.6440639597701,55.83827176944655,18.92671291874787,38.993815129912186,2,1,57.28329501837379,34.18829906387656,0,-20.9910640894266
2024-01-02 03:00:00,38.993815129912186,55.0,54.45477920920148,43.14582324938565,48.1189503625959,13.028759273087807,38.993815129912186,3,1,56.77239946170274,34.18829906387656,0,-3.882443939020547
