Timestamp,CPU_Usage,RAM_Usage,Disk_Usage,Network,cpu_rolling_mean_6h,cpu_rolling_std_6h,cpu_lag_1h,hour_of_day,day_of_week,ram_rolling_mean_3h,cpu_lag_24h,is_weekend,cpu_trend_3h
2024-01-01 02:00:00,34.18829906387656,55.0,85.94328719618896,37.85795252577171,,,,2,0,55.0,,0,
2024-01-01 03:00:00,34.18829906387656,59.17951639331191,53.19361127922072,37.85795252577171,,,34.18829906387656,3,0,57.08975819665595,,0,
2024-01-01 04:00:00,34.18829906387656,0.0,57.59010696629138,44.734012701329206,,,34.18829906387656,4,0,38.05983879777063,,0,
2024-01-01 05:00:00,34.18829906387656,55.62303790850983,54.76208082688932,44.734012701329206,,,34.18829906387656,5,0,38.26751810060725,,0,0.0
2024-01-01 06:00:00,34.18829906387656,55.0,49.53169325055333,27.141647725962564,,,34.18829906387656,6,0,36.87434596950328,,0,0.0
2024-01-01 07:00:00,34.18829906387656,55.0,55.85941405694834,29.25867033712036,34.18829906387656,0.0,34.18829906387656,7,0,55.20767930283662,,0,0.0
2024-01-01 08:00:00,49.61179283007505,55.0,63.47968608927458,27.594217892888423,36.75888135824298,6.296614963030581,34.18829906387656,8,0,55.0,,0,15.42349376619849
2024-01-01 09:00:00,53.837173645764544,55.0,61.39102695218878,18.28183160446583,40.03369378855765,9.153694285552156,49.61179283007505,9,0,55.0,,0,19.64887458188798
2024-01-01 10:00:00,57.29986626622441,56.47091053761845,57.372097063683455,21.363710167972567,43.885621655615616,10.898427209004538,53.837173645764544,10,0,55.49030351253949,,0,23.11156720234785
2024-01-01 11:00:00,72.71280021792982,59.20353029879558,58.32998233763219,13.32036468905105,50.30637184795783,14.72066940305618,57.29986626622441,11,0,56.89148027880467,,0,23.10100738785477
2024-01-01 12:00:00,78.03567334003851,58.52691586120014,59.05447329971319,22.36634764889847,57.61426756065149,15.951052572482489,72.71280021792982,12,0,58.06711889920472,,0,24.19849969427397
2024-01-01 13:00:00,85.0,62.78794413455972,59.0498491781976,33.66852592111736,66.52810958869684,15.166365361999617,78.03567334003851,13,0,60.17279676485182,,0,30.371484965924296
2024-01-01 14:00:00,85.0,71.72443012345464,59.475192483674014,36.255783687747474,74.09281078368433,16.31705694889165,87.67135123214871,14,0,64.34643003973817,,0,22.28719978207017
2024-01-01 15:00:00,85.0,72.57611795708824,54.78288271225984,37.54317849041289,80.95328184272357,14.66734525072024,95.0,15,0,69.02949740503419,,0,16.964326659961486
2024-01-01 16:00:00,85.0,70.31644726908871,55.68447303886058,51.79373123432634,87.2366374650195,9.763175291031985,95.0,16,0,71.53899844987718,,0,7.328648767851291
2024-01-01 17:00:00,85.0,70.1452925069191,60.72179739274302,63.481449678168566,90.9511707620312,6.973368807097833,95.0,17,0,71.01261924436535,,0,0.0
2024-01-01 18:00:00,85.0,70.75691937698018,54.34647128099027,48.600469771380176,93.77855853869146,2.9919083308854924,95.0,18,0,70.40621971766267,,0,0.0
2024-01-01 19:00:00,85.0,71.92143916520891,54.458118214975926,80.4857959552436,95.0,0.0,95.0,19,0,70.9412170163694,,0,0.0
2024-01-01 20:00:00,85.0,66.03830491367773,52.29351751028787,73.29072420408458,94.79069181164265,0.5126982604625274,95.0,20,0,69.5722211519556,,0,-1.2558491301441563
2024-01-01 21:00:00,85.0,63.63022394136229,48.06767909341858,85.97983482187786,93.17564907347864,3.8860954408906494,93.74415086985584,21,0,67.19665600674965,,0,-9.690256428983927
2024-01-01 22:00:00,68.87111849756732,64.30669315217439,54.98578851608303,68.00438521082832,88.82083548973988,10.479544178981923,85.30974357101607,22,0,64.65840733573815,,0,-26.12888150243268
2024-01-01 23:00:00,59.98487921933879,62.48722273974314,9.731316343508356,70.30523409411279,82.98498202629634,15.087023676650604,68.87111849756732,23,0,63.47471327775994,,0,-33.75927165051706
2024-01-02 00:00:00,42.87625906893273,56.53268667001318,53.38623470632212,70.30523409411279,74.29769187111846,20.734639403759594,59.98487921933879,0,1,61.10886752064357,,0,-42.43348450208334
2024-01-02 01:00:00,38.993815129912186,60.31719838510819,48.788539932407744,58.72997183100456,64.96332772610383,22.11163667919868,42.87625906893273,1,1,59.7790359316215,,0,-29.877303367655134
2024-01-02 02:00:00,38.993815129912186,55.0,54.94963427219766,71.6440639597701,55.83827176944655,18.92671291874787,38.993815129912186,2,1,57.28329501837379,34.18829906387656,0,-20.9910640894266
2024-01-02 03:00:00,38.993815129912186,55.0,54.676624388621214,43.14582324938565,48.1189503625959,13.028759273087807,38.993815129912186,3,1,56.77239946170274,34.18829906387656,0,-3.882443939020547
2024-01-02 04:00:00,38.993815129912186,55.0,52.89402649614204,37.79105441102944,43.139399801320046,8.397415184914744,38.993815129912186,4,1,55.0,34.18829906387656,0,0.0
2024-01-02 05:00:00,38.993815129912186,55.0,56.12338438144329,36.63511225282382,39.64088911974894,1.5850011009270408,38.993815129912186,5,1,55.0,34.18829906387656,0,0.0
2024-01-02 06:00:00,38.993815129912186,56.11177084322895,55.95004525017203,19.169600355794863,38.993815129912186,0.0,38.993815129912186,6,1,55.37059028107632,34.18829906387656,0,0.0
2024-01-02 07:00:00,38.70719569139112,55.0,58.66799950593919,20.85379219241673,38.94604522349201,0.1170118957915018,38.993815129912186,7,1,55.37059028107632,34.18829906387656,0,-0.2866194385210647
2024-01-02 08:00:00,59.26139092254469,56.93382389477762,55.32154351307587,23.56185130132935,42.32397452226409,8.298397553043905,38.70719569139112,8,1,56.01519824600219,49.61179283007505,0,20.267575792632503
2024-01-02 09:00:00,59.5797520722095,55.67812538514867,61.16100277682385,17.33711676493991,45.75496401264698,10.58639479443166,59.26139092254469,9,1,55.87064975997543,53.837173645764544,0,20.58593694229732
2024-01-02 10:00:00,64.71144535522049,57.71238003010472,58.474640495647535,20.275130340128364,50.04123571686503,12.359296692453002,59.5797520722095,10,1,56.774776436677,57.29986626622441,0,26.00424966382937
2024-01-02 11:00:00,84.46548636461677,63.494233780713984,54.44085216815765,19.78458098687988,57.61984758931579,17.21704072838939,64.71144535522049,11,1,58.961579731989126,72.71280021792982,0,25.204095442072077
2024-01-02 12:00:00,83.89578175014489,65.41321464182103,59.189073805852814,16.67103409095744,65.10350869268791,17.260341752119597,84.46548636461677,12,1,62.20660948421325,78.03567334003851,0,24.31602967793539
2024-01-02 13:00:00,85.0,61.16368067190439,55.52537573575052,37.57274569071391,74.48564274412273,15.221597835122411,83.89578175014489,13,1,63.357043031479805,87.67135123214871,0,30.28855464477951
